Wavenumber,Normalized Absorbance
5.000000000000000000e+03,-3.688114601335191756e-01
4.999643217249670670e+03,-5.035750096950922794e-01
4.999286434499340430e+03,-6.467612734291002807e-01
4.998929651749011100e+03,-6.741496645081915817e-01
4.998572868998681770e+03,-6.063775957251632542e-01
4.998216086248351530e+03,-5.546911482140485239e-01
4.997859303498022200e+03,-5.705524841530769109e-01
4.997502520747692870e+03,-6.133256892656139270e-01
4.997145737997362630e+03,-6.247570402338223916e-01
4.996788955247033300e+03,-5.948892165866859205e-01
4.996432172496703970e+03,-5.680365109844863758e-01
4.996075389746373730e+03,-5.878927797498451069e-01
4.995718606996044400e+03,-6.310490541905977580e-01
4.995361824245715070e+03,-6.345741282192433053e-01
4.995005041495384830e+03,-5.949692907145056608e-01
4.994648258745055500e+03,-5.683525503384201372e-01
4.994291475994726170e+03,-5.737392222646722217e-01
4.993934693244395930e+03,-5.751183399846444555e-01
4.993577910494066600e+03,-5.622737594587625676e-01
4.993221127743737270e+03,-5.721040269790772514e-01
4.992864344993407030e+03,-6.149375025920565951e-01
4.992507562243077700e+03,-6.548452758146731112e-01
4.992150779492748370e+03,-6.704573139158218620e-01
4.991793996742418130e+03,-6.694365274061655491e-01
4.991437213992088800e+03,-6.520122075307717147e-01
4.991080431241759470e+03,-6.154718287122159515e-01
4.990723648491429230e+03,-5.799678937368213383e-01
4.990366865741099900e+03,-5.654372571753319976e-01
4.990010082990770570e+03,-5.712079840487103155e-01
4.989653300240440331e+03,-6.025804416282323217e-01
4.989296517490111000e+03,-6.622405738417943555e-01
4.988939734739781670e+03,-7.120947858592007185e-01
4.988582951989451431e+03,-7.120532581079833667e-01
4.988226169239122100e+03,-6.862386814737274632e-01
4.987869386488792770e+03,-6.787699048426060200e-01
4.987512603738462531e+03,-6.631089657165207818e-01
4.987155820988133200e+03,-5.771690003975208372e-01
4.986799038237803870e+03,-4.421014393159873324e-01
4.986442255487473631e+03,-3.645625714978710796e-01
4.986085472737144300e+03,-4.100551416112918623e-01
4.985728689986814970e+03,-5.268959086578790529e-01
4.985371907236484731e+03,-6.089778694782648216e-01
4.985015124486155401e+03,-5.962871776858041928e-01
4.984658341735826070e+03,-5.092694488546356535e-01
4.984301558985495831e+03,-4.250401444397770567e-01
4.983944776235166501e+03,-4.127630075116867081e-01
4.983587993484837170e+03,-4.690046133820657825e-01
4.983231210734506931e+03,-5.321528498541697738e-01
4.982874427984177601e+03,-5.593598034797122587e-01
4.982517645233848270e+03,-5.637901466248280702e-01
4.982160862483518031e+03,-5.757011202646664660e-01
4.981804079733188701e+03,-5.959514421567817521e-01
4.981447296982858461e+03,-5.977816002395739403e-01
4.981090514232529131e+03,-5.644043029731675709e-01
4.980733731482199801e+03,-5.140715905635916405e-01
4.980376948731869561e+03,-4.780489714512155541e-01
4.980020165981540231e+03,-4.616883883003278233e-01
4.979663383231210901e+03,-4.520055248530874259e-01
4.979306600480880661e+03,-4.560393861086023959e-01
4.978949817730551331e+03,-4.970263691853061827e-01
4.978593034980222001e+03,-5.682117093829195387e-01
4.978236252229891761e+03,-6.147953210413342751e-01
4.977879469479562431e+03,-5.903377593618120978e-01
4.977522686729233101e+03,-5.297916966721696319e-01
4.977165903978902861e+03,-5.182499222741386857e-01
4.976809121228573531e+03,-5.747539027553801860e-01
4.976452338478244201e+03,-6.284720175279376875e-01
4.976095555727913961e+03,-6.304653811398234220e-01
4.975738772977584631e+03,-6.145230250024764640e-01
4.975381990227255301e+03,-6.218091617377701219e-01
4.975025207476925061e+03,-6.399134499299803380e-01
4.974668424726595731e+03,-6.449066878593301411e-01
4.974311641976266401e+03,-6.452848175802476938e-01
4.973954859225936161e+03,-6.478250886108328777e-01
4.973598076475606831e+03,-6.212113415485057688e-01
4.973241293725277501e+03,-5.389185985661887335e-01
4.972884510974947261e+03,-4.420486614806960479e-01
4.972527728224617931e+03,-4.077581596183752488e-01
4.972170945474288601e+03,-4.589061449490093314e-01
4.971814162723958361e+03,-5.469265980717715747e-01
4.971457379973629031e+03,-6.170904865788933158e-01
4.971100597223299701e+03,-6.520995133681841693e-01
4.970743814472969461e+03,-6.480129919632179325e-01
4.970387031722640131e+03,-6.037226594577373984e-01
4.970030248972310801e+03,-5.549648479550277624e-01
4.969673466221980561e+03,-5.578328348215918497e-01
4.969316683471651231e+03,-6.131758905415329863e-01
4.968959900721321901e+03,-6.594156122361226613e-01
4.968603117970991661e+03,-6.584102033429019007e-01
4.968246335220662331e+03,-6.385886783370376962e-01
4.967889552470333001e+03,-6.421967291976923287e-01
4.967532769720002761e+03,-6.775090085185547784e-01
4.967175986969673431e+03,-7.292801454891302271e-01
4.966819204219344101e+03,-7.807141517565211464e-01
4.966462421469013861e+03,-8.118008288877420764e-01
4.966105638718684531e+03,-7.960898306398302982e-01
4.965748855968355201e+03,-7.224799779328706650e-01
4.965392073218024962e+03,-6.237393003376706657e-01
4.965035290467695631e+03,-5.614183096152599584e-01
4.964678507717366301e+03,-5.627692202566371149e-01
4.964321724967036062e+03,-5.858598950155947671e-01
4.963964942216706731e+03,-5.752531943126284464e-01
4.963608159466377401e+03,-5.316384433416360134e-01
4.963251376716047162e+03,-4.971415443941204493e-01
4.962894593965717831e+03,-5.037423487261192268e-01
4.962537811215388501e+03,-5.541575572039916242e-01
4.962181028465058262e+03,-6.188809376298054499e-01
4.961824245714728931e+03,-6.476601783426503278e-01
4.961467462964399601e+03,-6.133710000196324064e-01
4.961110680214069362e+03,-5.445052306738613623e-01
4.960753897463740032e+03,-4.963283181833244018e-01
4.960397114713410701e+03,-4.957630168089404710e-01
4.960040331963080462e+03,-5.229711234145972831e-01
4.959683549212751132e+03,-5.470866644590005601e-01
4.959326766462421801e+03,-5.690625609507000693e-01
4.958969983712091562e+03,-6.104592442541137975e-01
4.958613200961762232e+03,-6.625107702970415291e-01
4.958256418211432901e+03,-6.794590185431100826e-01
4.957899635461102662e+03,-6.389783335951185750e-01
4.957542852710773332e+03,-5.730205131337785529e-01
4.957186069960444001e+03,-5.244940122969287133e-01
4.956829287210113762e+03,-5.055404928492288619e-01
4.956472504459784432e+03,-5.101493841752401392e-01
4.956115721709455102e+03,-5.389174319413393421e-01
4.955758938959124862e+03,-5.966802108686134476e-01
4.955402156208795532e+03,-6.773449851581524461e-01
4.955045373458466202e+03,-7.501422495456809836e-01
4.954688590708135962e+03,-7.623900093591431393e-01
4.954331807957806632e+03,-6.835000876299314188e-01
4.953975025207477302e+03,-5.544227085184428860e-01
4.953618242457147062e+03,-4.562831356560799190e-01
4.953261459706817732e+03,-4.201526276234225921e-01
4.952904676956488402e+03,-4.064849830327516012e-01
4.952547894206158162e+03,-3.740875517154953478e-01
4.952191111455828832e+03,-3.353187932208236965e-01
4.951834328705499502e+03,-3.400283008233183635e-01
4.951477545955169262e+03,-4.102330826014762843e-01
4.951120763204839932e+03,-4.958583935071529947e-01
4.950763980454510602e+03,-5.275922404232407104e-01
4.950407197704180362e+03,-5.233652856992344615e-01
4.950050414953851032e+03,-5.850393484044280612e-01
4.949693632203521702e+03,-7.485443691993474147e-01
4.949336849453191462e+03,-9.069621313122530060e-01
4.948980066702862132e+03,-9.317490479015555493e-01
4.948623283952532802e+03,-8.213629227847852876e-01
4.948266501202202562e+03,-6.900721766169533034e-01
4.947909718451873232e+03,-6.341910991856358759e-01
4.947552935701543902e+03,-6.425459883647715031e-01
4.947196152951213662e+03,-6.364442658022192445e-01
4.946839370200884332e+03,-5.813399878294107648e-01
4.946482587450555002e+03,-5.282757529599942936e-01
4.946125804700224762e+03,-5.333439533582843284e-01
4.945769021949895432e+03,-5.805195469649410134e-01
4.945412239199566102e+03,-6.186479409863672174e-01
4.945055456449235862e+03,-6.417743035499279269e-01
4.944698673698906532e+03,-6.879532379497341754e-01
4.944341890948577202e+03,-7.698859083124207636e-01
4.943985108198246962e+03,-8.478502326150811896e-01
4.943628325447917632e+03,-8.723723185412070036e-01
4.943271542697587392e+03,-8.316806894000550177e-01
4.942914759947258062e+03,-7.480064118740648027e-01
4.942557977196928732e+03,-6.476893661365793475e-01
4.942201194446598493e+03,-5.578104301665897102e-01
4.941844411696269162e+03,-5.111769282399452052e-01
4.941487628945939832e+03,-5.282936412076847388e-01
4.941130846195609593e+03,-5.863392754931769923e-01
4.940774063445280262e+03,-6.280885751014971818e-01
4.940417280694950932e+03,-6.157983830401211334e-01
4.940060497944620693e+03,-5.617387698633599102e-01
4.939703715194291362e+03,-5.048557318192155030e-01
4.939346932443962032e+03,-4.728074146937281119e-01
4.938990149693631793e+03,-4.688426230871904354e-01
4.938633366943302462e+03,-4.771459355941198854e-01
4.938276584192973132e+03,-4.764686245894603767e-01
4.937919801442642893e+03,-4.678223380215482674e-01
4.937563018692313562e+03,-4.759384311184385319e-01
4.937206235941984232e+03,-5.073885494132629459e-01
4.936849453191653993e+03,-5.322805986863606842e-01
4.936492670441324663e+03,-5.228588136001499631e-01
4.936135887690995332e+03,-4.905455839430752918e-01
4.935779104940665093e+03,-4.623462146232923953e-01
4.935422322190335763e+03,-4.463404764529073643e-01
4.935065539440006432e+03,-4.454538688568485116e-01
4.934708756689676193e+03,-4.765299440289120225e-01
4.934351973939346863e+03,-5.507857521393161315e-01
4.933995191189017532e+03,-6.437051188434088633e-01
4.933638408438687293e+03,-7.091373304647139442e-01
4.933281625688357963e+03,-7.295079989202389870e-01
4.932924842938028632e+03,-7.284942087484951312e-01
4.932568060187698393e+03,-7.283457062742467736e-01
4.932211277437369063e+03,-7.176990060303920504e-01
4.931854494687039733e+03,-6.733203136317141846e-01
4.931497711936709493e+03,-5.956797618365944347e-01
4.931140929186380163e+03,-5.093879397340744797e-01
4.930784146436050833e+03,-4.384601507334725534e-01
4.930427363685720593e+03,-3.957281834215325977e-01
4.930070580935391263e+03,-3.848077561472285635e-01
4.929713798185061933e+03,-3.966775295094914222e-01
4.929357015434731693e+03,-4.118249729091095768e-01
4.929000232684402363e+03,-4.238427643575254367e-01
4.928643449934073033e+03,-4.525787811080232426e-01
4.928286667183742793e+03,-5.151567563445414999e-01
4.927929884433413463e+03,-5.876552180897266497e-01
4.927573101683084133e+03,-6.191953899304902809e-01
4.927216318932753893e+03,-5.877071772409130368e-01
4.926859536182424563e+03,-5.270016553547527405e-01
4.926502753432095233e+03,-4.978648518007361967e-01
4.926145970681764993e+03,-5.357236292681561984e-01
4.925789187931435663e+03,-6.204587209869574238e-01
4.925432405181106333e+03,-7.003303225622889983e-01
4.925075622430776093e+03,-7.472115787661571806e-01
4.924718839680446763e+03,-7.697373035026593424e-01
4.924362056930117433e+03,-7.739120602926152781e-01
4.924005274179787193e+03,-7.466699237176677162e-01
4.923648491429457863e+03,-6.896315812988372818e-01
4.923291708679128533e+03,-6.302720627464022396e-01
4.922934925928798293e+03,-5.940033151056675065e-01
4.922578143178468963e+03,-5.911587050814799404e-01
4.922221360428139633e+03,-6.127918117161202938e-01
4.921864577677809393e+03,-6.215978747206409860e-01
4.921507794927480063e+03,-5.798272915641845549e-01
4.921151012177150733e+03,-5.073125482388647356e-01
4.920794229426820493e+03,-4.712718362077719103e-01
4.920437446676491163e+03,-5.013904193850334812e-01
4.920080663926161833e+03,-5.611138546414093931e-01
4.919723881175831593e+03,-6.156202194701957398e-01
4.919367098425502263e+03,-6.713003095273798460e-01
4.919010315675172933e+03,-7.319035163675392530e-01
4.918653532924842693e+03,-7.727421470620806643e-01
4.918296750174513363e+03,-7.815338046375400749e-01
4.917939967424184033e+03,-7.789656471796341242e-01
4.917583184673853793e+03,-7.776293227600581393e-01
4.917226401923524463e+03,-7.586755440623917934e-01
4.916869619173195133e+03,-7.093409508463197621e-01
4.916512836422864893e+03,-6.603030078156323368e-01
4.916156053672535563e+03,-6.637700804206396743e-01
4.915799270922206233e+03,-7.311425767815715737e-01
4.915442488171875993e+03,-8.050546944824013007e-01
4.915085705421546663e+03,-8.120324619104681840e-01
4.914728922671217333e+03,-7.375941077117899036e-01
4.914372139920887093e+03,-6.371244515820010390e-01
4.914015357170557763e+03,-5.788389249450793805e-01
4.913658574420228433e+03,-5.804840877096505425e-01
4.913301791669898194e+03,-5.995323527865653590e-01
4.912945008919568863e+03,-5.819141821598834419e-01
4.912588226169239533e+03,-5.217161898397763009e-01
4.912231443418909294e+03,-4.716598106050500228e-01
4.911874660668579963e+03,-4.842478837561541294e-01
4.911517877918250633e+03,-5.553887284726700679e-01
4.911161095167920394e+03,-6.390971221003413083e-01
4.910804312417591063e+03,-6.963985580370135597e-01
4.910447529667261733e+03,-7.202826366178792794e-01
4.910090746916931494e+03,-7.233485062549479538e-01
4.909733964166602163e+03,-7.052113990636854624e-01
4.909377181416272833e+03,-6.521875355541882913e-01
4.909020398665942594e+03,-5.785781399458538310e-01
4.908663615915613263e+03,-5.283459346548806668e-01
4.908306833165283024e+03,-5.160777964295759634e-01
4.907950050414953694e+03,-5.078266955014318906e-01
4.907593267664624364e+03,-4.800959409632527541e-01
4.907236484914294124e+03,-4.494713837197371054e-01
4.906879702163964794e+03,-4.312107575641587198e-01
4.906522919413635464e+03,-4.226629586940574557e-01
4.906166136663305224e+03,-4.254248031664306096e-01
4.905809353912975894e+03,-4.458417750304512484e-01
4.905452571162646564e+03,-4.863782498890031336e-01
4.905095788412316324e+03,-5.505671430162244473e-01
4.904739005661986994e+03,-6.352173162998543399e-01
4.904382222911657664e+03,-7.141024858236763029e-01
4.904025440161327424e+03,-7.464247687624768757e-01
4.903668657410998094e+03,-7.066229400853926146e-01
4.903311874660668764e+03,-6.104449241046469021e-01
4.902955091910338524e+03,-5.129495021295140678e-01
4.902598309160009194e+03,-4.659397602777606284e-01
4.902241526409679864e+03,-4.725035873776912698e-01
4.901884743659349624e+03,-4.996497468860827684e-01
4.901527960909020294e+03,-5.370585551023865367e-01
4.901171178158690964e+03,-6.041659496110317606e-01
4.900814395408360724e+03,-6.927135039667282612e-01
4.900457612658031394e+03,-7.502597716489290969e-01
4.900100829907702064e+03,-7.397643983394843747e-01
4.899744047157371824e+03,-6.834727879262191275e-01
4.899387264407042494e+03,-6.303767754281955904e-01
4.899030481656713164e+03,-6.019484567279183018e-01
4.898673698906382924e+03,-5.903166680125614407e-01
4.898316916156053594e+03,-5.929807957146558950e-01
4.897960133405724264e+03,-6.264358730877965797e-01
4.897603350655394024e+03,-7.030478625798558534e-01
4.897246567905064694e+03,-7.998324177355825571e-01
4.896889785154735364e+03,-8.626254749311742520e-01
4.896533002404405124e+03,-8.505358712420298950e-01
4.896176219654075794e+03,-7.717430249805482534e-01
4.895819436903746464e+03,-6.682930099156439985e-01
4.895462654153416224e+03,-5.809166360452527877e-01
4.895105871403086894e+03,-5.367710537118735026e-01
4.894749088652757564e+03,-5.392489785366921806e-01
4.894392305902427324e+03,-5.551478511419269957e-01
4.894035523152097994e+03,-5.450512111033712914e-01
4.893678740401768664e+03,-5.138116447155736122e-01
4.893321957651438424e+03,-4.913873685843948014e-01
4.892965174901109094e+03,-4.692954372655709361e-01
4.892608392150779764e+03,-4.127598692226182031e-01
4.892251609400449524e+03,-3.340862097220644311e-01
4.891894826650120194e+03,-2.953128120174653981e-01
4.891538043899790864e+03,-3.298103318004271256e-01
4.891181261149460624e+03,-4.035449246754924113e-01
4.890824478399131294e+03,-4.632224249312199005e-01
4.890467695648801964e+03,-4.902858154766132626e-01
4.890110912898471724e+03,-5.030466991975115487e-01
4.889754130148142394e+03,-5.307193544537180951e-01
4.889397347397813064e+03,-5.851239935184997520e-01
4.889040564647482825e+03,-6.435979513884949599e-01
4.888683781897153494e+03,-6.685128675319956804e-01
4.888326999146824164e+03,-6.521727327222178738e-01
4.887970216396493925e+03,-6.229434144531720285e-01
4.887613433646164594e+03,-6.057642529441529256e-01
4.887256650895835264e+03,-6.013869468842948374e-01
4.886899868145505025e+03,-6.047736588220458120e-01
4.886543085395175694e+03,-6.207951481334893495e-01
4.886186302644846364e+03,-6.469514571578356410e-01
4.885829519894516125e+03,-6.588665651524033828e-01
4.885472737144186794e+03,-6.395718164642192338e-01
4.885115954393857464e+03,-6.088302266223265535e-01
4.884759171643527225e+03,-5.910957687409212902e-01
4.884402388893197895e+03,-5.762850296465162891e-01
4.884045606142868564e+03,-5.517610232239279489e-01
4.883688823392538325e+03,-5.439615971387852245e-01
4.883332040642208995e+03,-5.741825942863770793e-01
4.882975257891879664e+03,-6.074265790798634157e-01
4.882618475141549425e+03,-5.999876434843630646e-01
4.882261692391220095e+03,-5.653788986433928576e-01
4.881904909640890764e+03,-5.426215408841645882e-01
4.881548126890560525e+03,-5.343349909342816062e-01
4.881191344140231195e+03,-5.235482138400907592e-01
4.880834561389901864e+03,-5.189347651725626509e-01
4.880477778639571625e+03,-5.420754649415091553e-01
4.880120995889242295e+03,-5.852513159527193976e-01
4.879764213138912964e+03,-6.137735026485874323e-01
4.879407430388582725e+03,-6.064234676189118600e-01
4.879050647638253395e+03,-5.706387666353582855e-01
4.878693864887924065e+03,-5.193501859544550348e-01
4.878337082137593825e+03,-4.623626838185345145e-01
4.877980299387264495e+03,-4.278123043318710628e-01
4.877623516636935165e+03,-4.537426360761821487e-01
4.877266733886604925e+03,-5.314050023915117826e-01
4.876909951136275595e+03,-5.879908717503387061e-01
4.876553168385946265e+03,-5.631240379476696312e-01
4.876196385635616025e+03,-4.884895270374745579e-01
4.875839602885286695e+03,-4.502671037354249450e-01
4.875482820134957365e+03,-4.781781052240171581e-01
4.875126037384627125e+03,-5.312614461337301641e-01
4.874769254634297795e+03,-5.784124587501392467e-01
4.874412471883968465e+03,-6.209599987059559734e-01
4.874055689133638225e+03,-6.416280115227627201e-01
4.873698906383308895e+03,-6.062479605083475054e-01
4.873342123632979565e+03,-5.347821357252361407e-01
4.872985340882649325e+03,-5.087811310755757654e-01
4.872628558132319995e+03,-5.707761554728836284e-01
4.872271775381990665e+03,-6.557354549201392935e-01
4.871914992631660425e+03,-6.722350966830077379e-01
4.871558209881331095e+03,-6.195414886358063811e-01
4.871201427131001765e+03,-5.696433968559730943e-01
4.870844644380671525e+03,-5.565005628883347155e-01
4.870487861630342195e+03,-5.508828548965163385e-01
4.870131078880012865e+03,-5.391201858822676218e-01
4.869774296129682625e+03,-5.488393989037624321e-01
4.869417513379353295e+03,-5.831366412652129183e-01
4.869060730629023965e+03,-5.986319333074213711e-01
4.868703947878693725e+03,-5.679405748521355601e-01
4.868347165128364395e+03,-5.195727179388824890e-01
4.867990382378034155e+03,-4.969758700207733693e-01
4.867633599627704825e+03,-5.000602078067735157e-01
4.867276816877375495e+03,-4.929071464671277991e-01
4.866920034127045255e+03,-4.636150248936902751e-01
4.866563251376715925e+03,-4.453032446262952249e-01
4.866206468626386595e+03,-4.633696516227381879e-01
4.865849685876056355e+03,-4.932919825753373511e-01
4.865492903125727025e+03,-5.066819977413259402e-01
4.865136120375397695e+03,-5.318300563563710393e-01
4.864779337625067456e+03,-6.158359819604313223e-01
4.864422554874738125e+03,-7.380436471537511478e-01
4.864065772124408795e+03,-8.089707470952315349e-01
4.863708989374078556e+03,-7.676240615123363087e-01
4.863352206623749225e+03,-6.523019040180408901e-01
4.862995423873419895e+03,-5.498094235877356573e-01
4.862638641123089656e+03,-4.985342488590490118e-01
4.862281858372760325e+03,-4.757412919859958511e-01
4.861925075622430995e+03,-4.580219661157948208e-01
4.861568292872100756e+03,-4.536429885758894720e-01
4.861211510121771425e+03,-4.749340012349598239e-01
4.860854727371442095e+03,-5.113799618979425476e-01
4.860497944621111856e+03,-5.437113185855716457e-01
4.860141161870782526e+03,-5.558685728712450258e-01
4.859784379120453195e+03,-5.323485289999587700e-01
4.859427596370122956e+03,-4.877078883883897431e-01
4.859070813619793626e+03,-4.775358748332495518e-01
4.858714030869464295e+03,-5.295023737095233551e-01
4.858357248119134056e+03,-5.964617109034022757e-01
4.858000465368804726e+03,-6.270660404667580679e-01
4.857643682618475395e+03,-6.392238143183593957e-01
4.857286899868145156e+03,-6.739952163406319752e-01
4.856930117117815826e+03,-7.290949182104128345e-01
4.856573334367486495e+03,-7.771112867479929021e-01
4.856216551617156256e+03,-8.032321808624378612e-01
4.855859768866826926e+03,-7.974917043667330008e-01
4.855502986116497596e+03,-7.516076395143832523e-01
4.855146203366167356e+03,-6.864524057816604463e-01
4.854789420615838026e+03,-6.509966145484054056e-01
4.854432637865508696e+03,-6.691605148825902072e-01
4.854075855115178456e+03,-7.031162704591817914e-01
4.853719072364849126e+03,-6.981929635027112058e-01
4.853362289614519796e+03,-6.558514948640392639e-01
4.853005506864189556e+03,-6.247550600416438282e-01
4.852648724113860226e+03,-6.241196976429993493e-01
4.852291941363530896e+03,-6.217317892674963931e-01
4.851935158613200656e+03,-5.940397670154349274e-01
4.851578375862871326e+03,-5.589765296936693995e-01
4.851221593112541996e+03,-5.376500475457574035e-01
4.850864810362211756e+03,-5.317756547976052461e-01
4.850508027611882426e+03,-5.479040796034663208e-01
4.850151244861553096e+03,-5.989522400522516721e-01
4.849794462111222856e+03,-6.672062033553007865e-01
4.849437679360893526e+03,-7.029422523303330284e-01
