Wavenumber,Normalized Absorbance
5.000000000000000000e+03,-4.621509740152809353e-01
4.999643217249670670e+03,-5.996071122777838491e-01
4.999286434499340430e+03,-7.117521547526580727e-01
4.998929651749011100e+03,-7.124840316588966216e-01
4.998572868998681770e+03,-6.392811997275904545e-01
4.998216086248351530e+03,-5.856820627471818197e-01
4.997859303498022200e+03,-5.876408598504808678e-01
4.997502520747692870e+03,-6.186745531713070401e-01
4.997145737997362630e+03,-6.448852493657251106e-01
4.996788955247033300e+03,-6.504454374622675727e-01
4.996432172496703970e+03,-6.403069683281406022e-01
4.996075389746373730e+03,-6.229606690109414924e-01
4.995718606996044400e+03,-5.860030548544361562e-01
4.995361824245715070e+03,-5.258287156737565526e-01
4.995005041495384830e+03,-4.926742283586253435e-01
4.994648258745055500e+03,-5.355100932550442838e-01
4.994291475994726170e+03,-6.182924197884401840e-01
4.993934693244395930e+03,-6.594262645275700274e-01
4.993577910494066600e+03,-6.351900696604835250e-01
4.993221127743737270e+03,-5.825253988356874357e-01
4.992864344993407030e+03,-5.249947325910717666e-01
4.992507562243077700e+03,-4.735166636780596683e-01
4.992150779492748370e+03,-4.653759379258938789e-01
4.991793996742418130e+03,-5.213382890118554158e-01
4.991437213992088800e+03,-5.897930770632572317e-01
4.991080431241759470e+03,-6.010732711534404471e-01
4.990723648491429230e+03,-5.557982635965847962e-01
4.990366865741099900e+03,-5.094291403081048220e-01
4.990010082990770570e+03,-4.974356296091433927e-01
4.989653300240440331e+03,-5.113638600082496266e-01
4.989296517490111000e+03,-5.218749208428811182e-01
4.988939734739781670e+03,-5.108190552191633760e-01
4.988582951989451431e+03,-5.027907092814879464e-01
4.988226169239122100e+03,-5.503812073001032035e-01
4.987869386488792770e+03,-6.514496445521749113e-01
4.987512603738462531e+03,-7.125760151836725287e-01
4.987155820988133200e+03,-6.623994356836651054e-01
4.986799038237803870e+03,-5.617082050634364387e-01
4.986442255487473631e+03,-5.120507954920920923e-01
4.986085472737144300e+03,-5.202722464372473432e-01
4.985728689986814970e+03,-5.379389782274239806e-01
4.985371907236484731e+03,-5.567787592611788128e-01
4.985015124486155401e+03,-5.863007901366549257e-01
4.984658341735826070e+03,-5.984056992386769247e-01
4.984301558985495831e+03,-5.668476171123537632e-01
4.983944776235166501e+03,-5.104738872393805860e-01
4.983587993484837170e+03,-4.576528930006900642e-01
4.983231210734506931e+03,-4.227159327672155298e-01
4.982874427984177601e+03,-4.278596315162240815e-01
4.982517645233848270e+03,-4.929944048112299138e-01
4.982160862483518031e+03,-5.933676679751490601e-01
4.981804079733188701e+03,-6.704439043402136145e-01
4.981447296982858461e+03,-6.875910329364806062e-01
4.981090514232529131e+03,-6.521279048841480686e-01
4.980733731482199801e+03,-5.946850843991455804e-01
4.980376948731869561e+03,-5.455185138866325278e-01
4.980020165981540231e+03,-5.190464996668965325e-01
4.979663383231210901e+03,-5.091248568125001928e-01
4.979306600480880661e+03,-5.070007936349709698e-01
4.978949817730551331e+03,-5.232426013692396127e-01
4.978593034980222001e+03,-5.755587398439668823e-01
4.978236252229891761e+03,-6.546703611504463005e-01
4.977879469479562431e+03,-7.254675206231899764e-01
4.977522686729233101e+03,-7.667177988327157356e-01
4.977165903978902861e+03,-7.737271771212875793e-01
4.976809121228573531e+03,-7.253505915236104773e-01
4.976452338478244201e+03,-6.102701403847951012e-01
4.976095555727913961e+03,-4.895645064389802514e-01
4.975738772977584631e+03,-4.588746878668220064e-01
4.975381990227255301e+03,-5.277589582996866646e-01
4.975025207476925061e+03,-6.026097125449499936e-01
4.974668424726595731e+03,-6.070019467777412192e-01
4.974311641976266401e+03,-5.618992323671202493e-01
4.973954859225936161e+03,-5.246321289674261701e-01
4.973598076475606831e+03,-4.964228655306159310e-01
4.973241293725277501e+03,-4.407021254658773368e-01
4.972884510974947261e+03,-3.766120203266478672e-01
4.972527728224617931e+03,-3.814617945582201575e-01
4.972170945474288601e+03,-4.809709397286292543e-01
4.971814162723958361e+03,-5.968665806597696077e-01
4.971457379973629031e+03,-6.438012098718212117e-01
4.971100597223299701e+03,-6.267413448349923311e-01
4.970743814472969461e+03,-5.923874513071154535e-01
4.970387031722640131e+03,-5.544967282312055490e-01
4.970030248972310801e+03,-5.204810737214784488e-01
4.969673466221980561e+03,-5.152803677694187678e-01
4.969316683471651231e+03,-5.334091703804578755e-01
4.968959900721321901e+03,-5.331606796322889696e-01
4.968603117970991661e+03,-5.047580617322507957e-01
4.968246335220662331e+03,-4.865588797771406848e-01
4.967889552470333001e+03,-5.014199368167787663e-01
4.967532769720002761e+03,-5.310891465835961833e-01
4.967175986969673431e+03,-5.535111121591519412e-01
4.966819204219344101e+03,-5.644982855474103278e-01
4.966462421469013861e+03,-5.626857203883038894e-01
4.966105638718684531e+03,-5.414417767597248243e-01
4.965748855968355201e+03,-5.098676572546528840e-01
4.965392073218024962e+03,-5.090123522701358594e-01
4.965035290467695631e+03,-5.748987193224125436e-01
4.964678507717366301e+03,-6.834654746938322312e-01
4.964321724967036062e+03,-7.602005442180198580e-01
4.963964942216706731e+03,-7.551740896705884110e-01
4.963608159466377401e+03,-6.839798196231582361e-01
4.963251376716047162e+03,-5.893900107325864557e-01
4.962894593965717831e+03,-5.030695548554178220e-01
4.962537811215388501e+03,-4.416642500275534400e-01
4.962181028465058262e+03,-4.040985251212727003e-01
4.961824245714728931e+03,-3.775338512203911256e-01
4.961467462964399601e+03,-3.587019641481367094e-01
4.961110680214069362e+03,-3.576100832097320326e-01
4.960753897463740032e+03,-3.844153506149696198e-01
4.960397114713410701e+03,-4.392050627464123003e-01
4.960040331963080462e+03,-4.994813965049140214e-01
4.959683549212751132e+03,-5.303099452961050897e-01
4.959326766462421801e+03,-5.266725850816136312e-01
4.958969983712091562e+03,-5.213107832333220282e-01
4.958613200961762232e+03,-5.287170718755193066e-01
4.958256418211432901e+03,-5.163349091211173469e-01
4.957899635461102662e+03,-4.670213742984409278e-01
4.957542852710773332e+03,-4.241706799142637152e-01
4.957186069960444001e+03,-4.371902349280231137e-01
4.956829287210113762e+03,-4.985211494259730869e-01
4.956472504459784432e+03,-5.663408937125926634e-01
4.956115721709455102e+03,-6.157345826058880922e-01
4.955758938959124862e+03,-6.392509991705157546e-01
4.955402156208795532e+03,-6.281787515252394982e-01
4.955045373458466202e+03,-5.790529698995539043e-01
4.954688590708135962e+03,-5.066872277596893293e-01
4.954331807957806632e+03,-4.404136758456480560e-01
4.953975025207477302e+03,-4.107134350966998304e-01
4.953618242457147062e+03,-4.330868585530751047e-01
4.953261459706817732e+03,-4.949527374673138302e-01
4.952904676956488402e+03,-5.589469170244859564e-01
4.952547894206158162e+03,-5.873076017415105321e-01
4.952191111455828832e+03,-5.694853260866520328e-01
4.951834328705499502e+03,-5.316316537539506060e-01
4.951477545955169262e+03,-5.108756816739675743e-01
4.951120763204839932e+03,-5.074252032025049486e-01
4.950763980454510602e+03,-4.835666318209458359e-01
4.950407197704180362e+03,-4.353059381121063831e-01
4.950050414953851032e+03,-4.306656148041352328e-01
4.949693632203521702e+03,-5.252523416032938153e-01
4.949336849453191462e+03,-6.675154842323912652e-01
4.948980066702862132e+03,-7.466465893457173708e-01
4.948623283952532802e+03,-7.176842255702104989e-01
4.948266501202202562e+03,-6.335666805808254365e-01
4.947909718451873232e+03,-5.744844406123300606e-01
4.947552935701543902e+03,-5.780245212908685648e-01
4.947196152951213662e+03,-6.162786258984803700e-01
4.946839370200884332e+03,-6.311036726879644121e-01
4.946482587450555002e+03,-6.066453518373686737e-01
4.946125804700224762e+03,-5.894736941096933025e-01
4.945769021949895432e+03,-6.187448307636913558e-01
4.945412239199566102e+03,-6.630595743684684074e-01
4.945055456449235862e+03,-6.643167000460723504e-01
4.944698673698906532e+03,-6.269419433618507176e-01
4.944341890948577202e+03,-6.144611389118189715e-01
4.943985108198246962e+03,-6.575360070322002759e-01
4.943628325447917632e+03,-7.120226566882786878e-01
4.943271542697587392e+03,-7.281818617468225341e-01
4.942914759947258062e+03,-7.132782331143946442e-01
4.942557977196928732e+03,-6.962061184874122066e-01
4.942201194446598493e+03,-6.781501175670499038e-01
4.941844411696269162e+03,-6.531191304282201182e-01
4.941487628945939832e+03,-6.349064154987790198e-01
4.941130846195609593e+03,-6.231348399989141695e-01
4.940774063445280262e+03,-5.899066130723166212e-01
4.940417280694950932e+03,-5.333287077724663261e-01
4.940060497944620693e+03,-4.994010783186712543e-01
4.939703715194291362e+03,-5.271003491724962631e-01
4.939346932443962032e+03,-5.994483274372506276e-01
4.938990149693631793e+03,-6.614696025121098444e-01
4.938633366943302462e+03,-6.603532420872728625e-01
4.938276584192973132e+03,-5.777589100008345691e-01
4.937919801442642893e+03,-4.619025292194867127e-01
4.937563018692313562e+03,-3.962313341614536188e-01
4.937206235941984232e+03,-4.109490526153450340e-01
4.936849453191653993e+03,-4.644487896859424425e-01
4.936492670441324663e+03,-5.125848211670132049e-01
4.936135887690995332e+03,-5.435394435803369007e-01
4.935779104940665093e+03,-5.493911404123344999e-01
4.935422322190335763e+03,-5.357236930216128235e-01
4.935065539440006432e+03,-5.434739220587276876e-01
4.934708756689676193e+03,-5.935756541668086861e-01
4.934351973939346863e+03,-6.482906387107302271e-01
4.933995191189017532e+03,-6.706499350942167759e-01
4.933638408438687293e+03,-6.701838204643860708e-01
4.933281625688357963e+03,-6.691799186295388502e-01
4.932924842938028632e+03,-6.650819515055481634e-01
4.932568060187698393e+03,-6.382097479020250042e-01
4.932211277437369063e+03,-5.723800237161148496e-01
4.931854494687039733e+03,-4.687880592937834767e-01
4.931497711936709493e+03,-3.564326783375006413e-01
4.931140929186380163e+03,-2.825266339347926592e-01
4.930784146436050833e+03,-2.827701815203754743e-01
4.930427363685720593e+03,-3.571970370079835533e-01
4.930070580935391263e+03,-4.595161173705226698e-01
4.929713798185061933e+03,-5.213103893558250768e-01
4.929357015434731693e+03,-5.149723227437186246e-01
4.929000232684402363e+03,-4.849664067986766969e-01
4.928643449934073033e+03,-4.917563165459762353e-01
4.928286667183742793e+03,-5.348900709933001041e-01
4.927929884433413463e+03,-5.610343233363037641e-01
4.927573101683084133e+03,-5.455433478628120003e-01
4.927216318932753893e+03,-5.255336817347041611e-01
4.926859536182424563e+03,-5.355145178122594496e-01
4.926502753432095233e+03,-5.524100637220068499e-01
4.926145970681764993e+03,-5.390212288610294333e-01
4.925789187931435663e+03,-5.116034819481133367e-01
4.925432405181106333e+03,-5.158098769823753482e-01
4.925075622430776093e+03,-5.493781916896239848e-01
4.924718839680446763e+03,-5.647254314175597090e-01
4.924362056930117433e+03,-5.427250296446229916e-01
4.924005274179787193e+03,-5.203274352391878965e-01
4.923648491429457863e+03,-5.368778788154020543e-01
4.923291708679128533e+03,-5.776228138375620880e-01
4.922934925928798293e+03,-5.965173807694013064e-01
4.922578143178468963e+03,-5.849130284225794174e-01
4.922221360428139633e+03,-5.844340766686623168e-01
4.921864577677809393e+03,-6.262664385311995652e-01
4.921507794927480063e+03,-6.888007488927075928e-01
4.921151012177150733e+03,-7.290225407469547170e-01
4.920794229426820493e+03,-7.254263079077644116e-01
4.920437446676491163e+03,-6.858388754561486333e-01
4.920080663926161833e+03,-6.388618482035791635e-01
4.919723881175831593e+03,-6.174542205753823509e-01
4.919367098425502263e+03,-6.304718537951881085e-01
4.919010315675172933e+03,-6.487051652354045572e-01
4.918653532924842693e+03,-6.402802699984757595e-01
4.918296750174513363e+03,-6.163159162504993072e-01
4.917939967424184033e+03,-6.131721608533877710e-01
4.917583184673853793e+03,-6.382133748573090015e-01
4.917226401923524463e+03,-6.577074619066005656e-01
4.916869619173195133e+03,-6.435716088319411998e-01
4.916512836422864893e+03,-6.129573392460007097e-01
4.916156053672535563e+03,-6.081748581641955864e-01
4.915799270922206233e+03,-6.444790894555474381e-01
4.915442488171875993e+03,-6.835473290023128534e-01
4.915085705421546663e+03,-6.737681319446701123e-01
4.914728922671217333e+03,-6.121509070736458336e-01
4.914372139920887093e+03,-5.411696599263668972e-01
4.914015357170557763e+03,-4.945480349038746670e-01
4.913658574420228433e+03,-4.794336358582309554e-01
4.913301791669898194e+03,-5.000260962600010517e-01
4.912945008919568863e+03,-5.518248635133011781e-01
4.912588226169239533e+03,-6.005644025573330103e-01
4.912231443418909294e+03,-6.102578317130170626e-01
4.911874660668579963e+03,-5.884459692509086404e-01
4.911517877918250633e+03,-5.758705004473876343e-01
4.911161095167920394e+03,-5.904615364101826192e-01
4.910804312417591063e+03,-6.044329569128356061e-01
4.910447529667261733e+03,-5.849679808980218221e-01
4.910090746916931494e+03,-5.391886661849614182e-01
4.909733964166602163e+03,-5.036738285819110095e-01
4.909377181416272833e+03,-5.063929487525059558e-01
4.909020398665942594e+03,-5.508180601142267374e-01
4.908663615915613263e+03,-6.129108526750073338e-01
4.908306833165283024e+03,-6.472811832031767354e-01
4.907950050414953694e+03,-6.242114745958763367e-01
4.907593267664624364e+03,-5.645256895742570835e-01
4.907236484914294124e+03,-5.166894185622016300e-01
4.906879702163964794e+03,-5.064538684720263362e-01
4.906522919413635464e+03,-5.257181017433774084e-01
4.906166136663305224e+03,-5.568164894430692735e-01
4.905809353912975894e+03,-5.903190783047571610e-01
4.905452571162646564e+03,-6.230969292898376199e-01
4.905095788412316324e+03,-6.459141558570005159e-01
4.904739005661986994e+03,-6.448238668401458096e-01
4.904382222911657664e+03,-6.196387997479977372e-01
4.904025440161327424e+03,-5.862259813119000684e-01
4.903668657410998094e+03,-5.577371387043219553e-01
4.903311874660668764e+03,-5.401622131940475580e-01
4.902955091910338524e+03,-5.433362027919368398e-01
4.902598309160009194e+03,-5.663599376895678272e-01
4.902241526409679864e+03,-5.781686033203906616e-01
4.901884743659349624e+03,-5.560860337781320384e-01
4.901527960909020294e+03,-5.326822563306802261e-01
4.901171178158690964e+03,-5.576216767984183420e-01
4.900814395408360724e+03,-6.256477160651952030e-01
4.900457612658031394e+03,-6.757601148682391701e-01
4.900100829907702064e+03,-6.608407311359353331e-01
4.899744047157371824e+03,-5.983849135846452949e-01
4.899387264407042494e+03,-5.454141757377038990e-01
4.899030481656713164e+03,-5.301064287934572627e-01
4.898673698906382924e+03,-5.254998804808451718e-01
4.898316916156053594e+03,-5.008241971027184158e-01
4.897960133405724264e+03,-4.789326236821749849e-01
4.897603350655394024e+03,-5.152819695379060594e-01
4.897246567905064694e+03,-6.189854029330162932e-01
4.896889785154735364e+03,-7.243816791397378330e-01
4.896533002404405124e+03,-7.488146223811504854e-01
