Wavenumber,Normalized Absorbance
5.000000000000000000e+03,-9.805688288039086098e-01
4.999643217249670670e+03,-9.326235951138089897e-01
4.999286434499340430e+03,-9.053969693037521305e-01
4.998929651749011100e+03,-9.030451002469824795e-01
4.998572868998681770e+03,-8.963318547288900984e-01
4.998216086248351530e+03,-8.475598452954518081e-01
4.997859303498022200e+03,-7.474039403107862745e-01
4.997502520747692870e+03,-6.364980719046547941e-01
4.997145737997362630e+03,-5.882503734408780494e-01
4.996788955247033300e+03,-6.442732739619804194e-01
4.996432172496703970e+03,-7.639022313287846533e-01
4.996075389746373730e+03,-8.700536809770448299e-01
4.995718606996044400e+03,-9.325015216630855308e-01
4.995361824245715070e+03,-9.672460513225803469e-01
4.995005041495384830e+03,-9.819473178906072963e-01
4.994648258745055500e+03,-9.708825326607252171e-01
4.994291475994726170e+03,-9.453504855256144035e-01
4.993934693244395930e+03,-9.220010359281395340e-01
4.993577910494066600e+03,-8.901329612352802956e-01
4.993221127743737270e+03,-8.320289008374849304e-01
4.992864344993407030e+03,-7.677916576549150829e-01
4.992507562243077700e+03,-7.392352682721495816e-01
4.992150779492748370e+03,-7.515265464791021088e-01
4.991793996742418130e+03,-7.681391209753679616e-01
4.991437213992088800e+03,-7.737705989850591770e-01
4.991080431241759470e+03,-7.976442373565493238e-01
4.990723648491429230e+03,-8.459354069215221372e-01
4.990366865741099900e+03,-8.713386598453589649e-01
4.990010082990770570e+03,-8.435086013846160302e-01
4.989653300240440331e+03,-7.790200628552865769e-01
4.989296517490111000e+03,-6.869434896173055582e-01
4.988939734739781670e+03,-5.717725120075072276e-01
4.988582951989451431e+03,-4.906976204492466409e-01
4.988226169239122100e+03,-5.092586703979710139e-01
4.987869386488792770e+03,-5.988751856087775050e-01
4.987512603738462531e+03,-6.675875006643892107e-01
4.987155820988133200e+03,-6.805502439481443400e-01
4.986799038237803870e+03,-6.799368370778232640e-01
4.986442255487473631e+03,-7.083738413140855394e-01
4.986085472737144300e+03,-7.697781006312156560e-01
4.985728689986814970e+03,-8.414973221431908401e-01
4.985371907236484731e+03,-8.793375868567321341e-01
4.985015124486155401e+03,-8.430544307159707484e-01
4.984658341735826070e+03,-7.560749281027380198e-01
4.984301558985495831e+03,-7.059624018797104883e-01
4.983944776235166501e+03,-7.414628949054726803e-01
4.983587993484837170e+03,-8.101276223940512278e-01
4.983231210734506931e+03,-8.403687537022300758e-01
4.982874427984177601e+03,-8.234483836472142881e-01
4.982517645233848270e+03,-7.790642060325376761e-01
4.982160862483518031e+03,-7.148722210624921525e-01
4.981804079733188701e+03,-6.647061425974429838e-01
4.981447296982858461e+03,-6.956172573602121822e-01
4.981090514232529131e+03,-8.257544598855068863e-01
4.980733731482199801e+03,-9.775002517322678441e-01
4.980376948731869561e+03,-1.043807794653459631e+00
4.980020165981540231e+03,-9.911292515033990336e-01
4.979663383231210901e+03,-8.788727546179411210e-01
4.979306600480880661e+03,-7.898853331435582437e-01
4.978949817730551331e+03,-7.655906085746774226e-01
4.978593034980222001e+03,-7.918739756414935327e-01
4.978236252229891761e+03,-8.244361827035568968e-01
4.977879469479562431e+03,-8.330586740983556560e-01
4.977522686729233101e+03,-8.260206936500352759e-01
4.977165903978902861e+03,-8.241130363167317174e-01
4.976809121228573531e+03,-8.249830998677969429e-01
4.976452338478244201e+03,-8.182718094800465192e-01
4.976095555727913961e+03,-8.178576578855873969e-01
4.975738772977584631e+03,-8.454841078505664909e-01
4.975381990227255301e+03,-8.931516213853789576e-01
4.975025207476925061e+03,-9.241654568633778100e-01
4.974668424726595731e+03,-9.134891621422170926e-01
4.974311641976266401e+03,-8.809840204470085201e-01
4.973954859225936161e+03,-8.762177487114392038e-01
4.973598076475606831e+03,-9.261654024586022382e-01
4.973241293725277501e+03,-1.004890192023698114e+00
4.972884510974947261e+03,-1.063585343311896247e+00
4.972527728224617931e+03,-1.077421678546005346e+00
4.972170945474288601e+03,-1.050625945133960348e+00
4.971814162723958361e+03,-9.959567127088879701e-01
4.971457379973629031e+03,-9.343091924087468803e-01
4.971100597223299701e+03,-8.962465927166355373e-01
4.970743814472969461e+03,-8.960091665757388135e-01
4.970387031722640131e+03,-9.092965684174429963e-01
4.970030248972310801e+03,-8.959687809146136273e-01
4.969673466221980561e+03,-8.477693191822414098e-01
4.969316683471651231e+03,-8.015640293008027273e-01
4.968959900721321901e+03,-7.960542581548959440e-01
4.968603117970991661e+03,-8.245647325235380132e-01
4.968246335220662331e+03,-8.462331977117255599e-01
4.967889552470333001e+03,-8.365173913199438482e-01
4.967532769720002761e+03,-8.161783536664375394e-01
4.967175986969673431e+03,-8.261491212743700130e-01
4.966819204219344101e+03,-8.639478089192340615e-01
4.966462421469013861e+03,-8.649597110668231226e-01
4.966105638718684531e+03,-7.802389949767378763e-01
4.965748855968355201e+03,-6.586993406599266354e-01
4.965392073218024962e+03,-6.060289998926285948e-01
4.965035290467695631e+03,-6.747513120795589625e-01
4.964678507717366301e+03,-8.318936302569535091e-01
4.964321724967036062e+03,-1.003388621372193201e+00
4.963964942216706731e+03,-1.113364611458361519e+00
4.963608159466377401e+03,-1.109164808190451490e+00
4.963251376716047162e+03,-9.859769942698588530e-01
4.962894593965717831e+03,-8.006362894046509249e-01
4.962537811215388501e+03,-6.533508219438606268e-01
4.962181028465058262e+03,-6.181600108721391207e-01
4.961824245714728931e+03,-6.789294561691499030e-01
