Wavenumber,Normalized Absorbance
5.000000000000000000e+03,-9.042699089481875951e-01
4.999643217249670670e+03,-9.628800210975673179e-01
4.999286434499340430e+03,-9.849094669221305498e-01
4.998929651749011100e+03,-9.669068253622150610e-01
4.998572868998681770e+03,-9.495659910727043407e-01
4.998216086248351530e+03,-9.444764796770759308e-01
4.997859303498022200e+03,-9.207083778819082909e-01
4.997502520747692870e+03,-8.654224429509534966e-01
4.997145737997362630e+03,-7.958452259141245433e-01
4.996788955247033300e+03,-7.119989384224322260e-01
4.996432172496703970e+03,-6.055587006137004291e-01
4.996075389746373730e+03,-5.123588627965216524e-01
4.995718606996044400e+03,-4.873035261772905580e-01
4.995361824245715070e+03,-5.345838680515252461e-01
4.995005041495384830e+03,-6.221051617770291253e-01
4.994648258745055500e+03,-7.430475106858411838e-01
4.994291475994726170e+03,-8.924783536034498477e-01
4.993934693244395930e+03,-1.008522041737623054e+00
4.993577910494066600e+03,-1.015744719518810291e+00
4.993221127743737270e+03,-9.237069053457721557e-01
4.992864344993407030e+03,-8.271065424913395248e-01
4.992507562243077700e+03,-7.993975457074856683e-01
4.992150779492748370e+03,-8.198817147071231215e-01
4.991793996742418130e+03,-8.211393756338880578e-01
4.991437213992088800e+03,-7.844894852678844233e-01
4.991080431241759470e+03,-7.551543897142541928e-01
4.990723648491429230e+03,-7.737618786051723152e-01
4.990366865741099900e+03,-8.343289780186644577e-01
4.990010082990770570e+03,-9.034448528562430969e-01
4.989653300240440331e+03,-9.404428923042802424e-01
4.989296517490111000e+03,-9.105062804102556084e-01
4.988939734739781670e+03,-8.238316639339174907e-01
4.988582951989451431e+03,-7.554422781480102378e-01
4.988226169239122100e+03,-7.844265901088530724e-01
4.987869386488792770e+03,-9.082003264573240697e-01
4.987512603738462531e+03,-1.043103174963739388e+00
4.987155820988133200e+03,-1.116660834932295066e+00
4.986799038237803870e+03,-1.129492598080540811e+00
4.986442255487473631e+03,-1.122583093979999891e+00
4.986085472737144300e+03,-1.116403924711196316e+00
4.985728689986814970e+03,-1.093284548477862606e+00
4.985371907236484731e+03,-1.031230313166426216e+00
4.985015124486155401e+03,-9.462705512187092882e-01
4.984658341735826070e+03,-8.885288283209147320e-01
4.984301558985495831e+03,-8.804534169440011437e-01
4.983944776235166501e+03,-8.808123160411797103e-01
4.983587993484837170e+03,-8.425413839547777339e-01
4.983231210734506931e+03,-7.782766729939368799e-01
4.982874427984177601e+03,-7.357683877547094298e-01
4.982517645233848270e+03,-7.481619136658336222e-01
4.982160862483518031e+03,-8.287213461747804377e-01
4.981804079733188701e+03,-9.611061777534462003e-01
4.981447296982858461e+03,-1.083458247310292499e+00
4.981090514232529131e+03,-1.130588070046414151e+00
4.980733731482199801e+03,-1.091039763625192727e+00
4.980376948731869561e+03,-9.957413941543482583e-01
4.980020165981540231e+03,-8.853920041833406307e-01
4.979663383231210901e+03,-8.049794683602200518e-01
4.979306600480880661e+03,-7.814189781251483780e-01
4.978949817730551331e+03,-8.009438521113266818e-01
4.978593034980222001e+03,-8.401494298806863048e-01
4.978236252229891761e+03,-8.965643283739943570e-01
4.977879469479562431e+03,-9.670778263073523950e-01
4.977522686729233101e+03,-1.024823728084273577e+00
4.977165903978902861e+03,-1.036390683816813096e+00
4.976809121228573531e+03,-9.882993555007375530e-01
4.976452338478244201e+03,-8.978342231208116253e-01
4.976095555727913961e+03,-8.154695753925599311e-01
4.975738772977584631e+03,-7.991616510089519787e-01
4.975381990227255301e+03,-8.598220181594765643e-01
4.975025207476925061e+03,-9.443828788409824870e-01
4.974668424726595731e+03,-9.796298770896990638e-01
4.974311641976266401e+03,-9.318931478647439759e-01
4.973954859225936161e+03,-8.474683430087209812e-01
4.973598076475606831e+03,-8.255896396500499446e-01
4.973241293725277501e+03,-9.055129135162760523e-01
4.972884510974947261e+03,-9.868480126109659967e-01
4.972527728224617931e+03,-9.247044159060284763e-01
4.972170945474288601e+03,-7.200999984270297638e-01
4.971814162723958361e+03,-5.452001590644542928e-01
4.971457379973629031e+03,-5.408572929988941791e-01
4.971100597223299701e+03,-6.565001380507402562e-01
4.970743814472969461e+03,-7.483723111453473020e-01
4.970387031722640131e+03,-7.688235639014281420e-01
4.970030248972310801e+03,-7.653473118208676818e-01
4.969673466221980561e+03,-7.448509998463762605e-01
4.969316683471651231e+03,-6.656267646410358729e-01
4.968959900721321901e+03,-5.568349155967392550e-01
4.968603117970991661e+03,-5.246984607267406453e-01
4.968246335220662331e+03,-6.114828901218715140e-01
4.967889552470333001e+03,-7.299532654776608176e-01
4.967532769720002761e+03,-7.668175807936409294e-01
4.967175986969673431e+03,-6.988457043987520434e-01
4.966819204219344101e+03,-5.962363556138672305e-01
4.966462421469013861e+03,-5.524231775151356993e-01
4.966105638718684531e+03,-6.086558935334689391e-01
4.965748855968355201e+03,-7.232932828554147209e-01
4.965392073218024962e+03,-8.230208705381231171e-01
4.965035290467695631e+03,-8.826993525025176313e-01
4.964678507717366301e+03,-9.231259200202180937e-01
4.964321724967036062e+03,-9.474156246629135136e-01
4.963964942216706731e+03,-9.252388582082646806e-01
4.963608159466377401e+03,-8.561871503624951529e-01
4.963251376716047162e+03,-8.072564124131265118e-01
4.962894593965717831e+03,-8.369476211445174840e-01
4.962537811215388501e+03,-9.118068808341349696e-01
4.962181028465058262e+03,-9.471749454505969945e-01
4.961824245714728931e+03,-9.059373120015069558e-01
4.961467462964399601e+03,-8.209390316896648665e-01
4.961110680214069362e+03,-7.439349168656266276e-01
4.960753897463740032e+03,-7.134586542113237062e-01
4.960397114713410701e+03,-7.495031824568669787e-01
4.960040331963080462e+03,-8.342880371159150377e-01
4.959683549212751132e+03,-9.147154715515746215e-01
4.959326766462421801e+03,-9.458195048086118772e-01
4.958969983712091562e+03,-9.210162219775813730e-01
4.958613200961762232e+03,-8.607263518278988057e-01
4.958256418211432901e+03,-7.909725620070967578e-01
4.957899635461102662e+03,-7.431146150057321709e-01
4.957542852710773332e+03,-7.490754226992949460e-01
4.957186069960444001e+03,-8.031464242284694910e-01
4.956829287210113762e+03,-8.433106308131667062e-01
4.956472504459784432e+03,-8.116437509885242596e-01
4.956115721709455102e+03,-7.271072822427909754e-01
4.955758938959124862e+03,-6.573504491078423495e-01
4.955402156208795532e+03,-6.380487514924204628e-01
4.955045373458466202e+03,-6.551580365120547311e-01
4.954688590708135962e+03,-6.655880948682467713e-01
4.954331807957806632e+03,-6.239314682232310894e-01
4.953975025207477302e+03,-5.380090045671146459e-01
4.953618242457147062e+03,-4.887718277837358460e-01
4.953261459706817732e+03,-5.419981042892063616e-01
4.952904676956488402e+03,-6.521146466610435732e-01
4.952547894206158162e+03,-7.158718509209762715e-01
4.952191111455828832e+03,-7.064051756121718650e-01
4.951834328705499502e+03,-6.902326862785242989e-01
4.951477545955169262e+03,-7.265934466597270269e-01
4.951120763204839932e+03,-8.010892347105128541e-01
4.950763980454510602e+03,-8.516950975550654501e-01
4.950407197704180362e+03,-8.252180525068270045e-01
4.950050414953851032e+03,-7.242146197168055632e-01
4.949693632203521702e+03,-6.197858838616643329e-01
4.949336849453191462e+03,-5.886774143307714757e-01
4.948980066702862132e+03,-6.323952428233402534e-01
4.948623283952532802e+03,-6.871042350400701215e-01
4.948266501202202562e+03,-7.022406954493362052e-01
4.947909718451873232e+03,-6.843100335682930080e-01
4.947552935701543902e+03,-6.745568476445751305e-01
4.947196152951213662e+03,-7.036866633315352892e-01
4.946839370200884332e+03,-7.585691093137594265e-01
4.946482587450555002e+03,-7.905124613588914162e-01
4.946125804700224762e+03,-7.766684404465141744e-01
4.945769021949895432e+03,-7.614546859142690138e-01
4.945412239199566102e+03,-8.046867651309483893e-01
4.945055456449235862e+03,-8.962598758323951920e-01
4.944698673698906532e+03,-9.519038316902772578e-01
4.944341890948577202e+03,-9.025062705480210168e-01
4.943985108198246962e+03,-7.777819300434051231e-01
4.943628325447917632e+03,-6.857493848918746471e-01
4.943271542697587392e+03,-7.073093730127963941e-01
4.942914759947258062e+03,-8.230064261515761537e-01
4.942557977196928732e+03,-9.434122887411878766e-01
4.942201194446598493e+03,-9.928956985959399573e-01
4.941844411696269162e+03,-9.539143570579848852e-01
4.941487628945939832e+03,-8.591664792077620127e-01
4.941130846195609593e+03,-7.668117969826756530e-01
4.940774063445280262e+03,-7.268742188862743481e-01
4.940417280694950932e+03,-7.566585742277666116e-01
4.940060497944620693e+03,-8.442585701768249296e-01
4.939703715194291362e+03,-9.577505680963719348e-01
4.939346932443962032e+03,-1.048727582887595933e+00
4.938990149693631793e+03,-1.075467079714036212e+00
4.938633366943302462e+03,-1.038309697787990649e+00
4.938276584192973132e+03,-9.728518865547204353e-01
4.937919801442642893e+03,-9.061688461305169584e-01
4.937563018692313562e+03,-8.465967741751914133e-01
4.937206235941984232e+03,-8.030382881606308310e-01
4.936849453191653993e+03,-7.783761787679268629e-01
4.936492670441324663e+03,-7.584798690471896698e-01
4.936135887690995332e+03,-7.420713184654780248e-01
4.935779104940665093e+03,-7.550155782510863389e-01
4.935422322190335763e+03,-8.010670987638339735e-01
4.935065539440006432e+03,-8.382019813624068671e-01
4.934708756689676193e+03,-8.358155688454184107e-01
4.934351973939346863e+03,-8.147303680131113834e-01
4.933995191189017532e+03,-8.078986576841407086e-01
4.933638408438687293e+03,-8.295459177590001065e-01
4.933281625688357963e+03,-8.896708735918387179e-01
4.932924842938028632e+03,-9.802257004643264438e-01
4.932568060187698393e+03,-1.044830323875878486e+00
4.932211277437369063e+03,-1.020119582020293292e+00
4.931854494687039733e+03,-9.167829568586842726e-01
4.931497711936709493e+03,-8.161940355681336356e-01
4.931140929186380163e+03,-7.778473688679919951e-01
4.930784146436050833e+03,-7.846179706601665860e-01
4.930427363685720593e+03,-7.927221799649756262e-01
4.930070580935391263e+03,-8.046160875665867573e-01
4.929713798185061933e+03,-8.535824368337313617e-01
4.929357015434731693e+03,-9.243200498715627988e-01
4.929000232684402363e+03,-9.451145763506959563e-01
4.928643449934073033e+03,-8.903596921679035603e-01
4.928286667183742793e+03,-8.279712979349883595e-01
4.927929884433413463e+03,-8.233512442430014344e-01
4.927573101683084133e+03,-8.581937693866712458e-01
4.927216318932753893e+03,-8.733672492142887656e-01
4.926859536182424563e+03,-8.530159261764570511e-01
4.926502753432095233e+03,-8.279603965111793640e-01
4.926145970681764993e+03,-8.178974133200226371e-01
4.925789187931435663e+03,-8.043701393327625793e-01
4.925432405181106333e+03,-7.629225929118836902e-01
4.925075622430776093e+03,-7.035324687481036010e-01
4.924718839680446763e+03,-6.582420493076208690e-01
4.924362056930117433e+03,-6.441261589981404079e-01
4.924005274179787193e+03,-6.660812177460736505e-01
4.923648491429457863e+03,-7.279886017942830412e-01
4.923291708679128533e+03,-8.074261415254860852e-01
4.922934925928798293e+03,-8.502481455165503688e-01
4.922578143178468963e+03,-8.259638613040266586e-01
4.922221360428139633e+03,-7.715811093356474970e-01
4.921864577677809393e+03,-7.528494350585052119e-01
4.921507794927480063e+03,-7.936053769839014338e-01
4.921151012177150733e+03,-8.546558939798570842e-01
4.920794229426820493e+03,-8.801277066259745041e-01
4.920437446676491163e+03,-8.605743375292288500e-01
4.920080663926161833e+03,-8.327033637566129132e-01
4.919723881175831593e+03,-8.167008003665880977e-01
4.919367098425502263e+03,-7.934185386925083350e-01
4.919010315675172933e+03,-7.501099678187690412e-01
4.918653532924842693e+03,-7.082498782110514535e-01
4.918296750174513363e+03,-7.008885252344938532e-01
4.917939967424184033e+03,-7.475123704972139738e-01
4.917583184673853793e+03,-8.389966345946173742e-01
4.917226401923524463e+03,-9.297004778742276043e-01
4.916869619173195133e+03,-9.721606757217642336e-01
4.916512836422864893e+03,-9.680958073189833701e-01
4.916156053672535563e+03,-9.550876530771612583e-01
4.915799270922206233e+03,-9.536383087817547066e-01
4.915442488171875993e+03,-9.528929542105472050e-01
4.915085705421546663e+03,-9.317285666469609096e-01
4.914728922671217333e+03,-8.793200322486588449e-01
4.914372139920887093e+03,-8.114380774593277224e-01
4.914015357170557763e+03,-7.699084069790876894e-01
4.913658574420228433e+03,-7.824109774100346248e-01
4.913301791669898194e+03,-8.215694368031530859e-01
4.912945008919568863e+03,-8.315877544384258080e-01
