Wavenumber,Normalized Absorbance
5.000000000000000000e+03,-7.950689540852017290e-01
4.999643217249670670e+03,-8.063520169721755115e-01
4.999286434499340430e+03,-8.269232766646986699e-01
4.998929651749011100e+03,-8.368445135763323828e-01
4.998572868998681770e+03,-8.511461857047939450e-01
4.998216086248351530e+03,-8.767387590357190730e-01
4.997859303498022200e+03,-9.049163496580764354e-01
4.997502520747692870e+03,-9.232958684469112498e-01
4.997145737997362630e+03,-8.944979564945473305e-01
4.996788955247033300e+03,-7.755092511905468111e-01
4.996432172496703970e+03,-5.900499001880706862e-01
4.996075389746373730e+03,-4.283246246380245092e-01
4.995718606996044400e+03,-3.499723682319645923e-01
4.995361824245715070e+03,-3.353842278562632062e-01
4.995005041495384830e+03,-3.496558777574714783e-01
4.994648258745055500e+03,-4.016766849808168227e-01
4.994291475994726170e+03,-5.050524964567374431e-01
4.993934693244395930e+03,-6.214443354874349401e-01
4.993577910494066600e+03,-6.903838730938980373e-01
4.993221127743737270e+03,-6.998459030320265395e-01
4.992864344993407030e+03,-6.933529086872316505e-01
4.992507562243077700e+03,-7.176505775099700779e-01
4.992150779492748370e+03,-7.804239933168366505e-01
4.991793996742418130e+03,-8.505400324997671735e-01
4.991437213992088800e+03,-8.938545638963067974e-01
4.991080431241759470e+03,-9.002421402924013494e-01
4.990723648491429230e+03,-8.745238877066986438e-01
4.990366865741099900e+03,-8.284447972261870241e-01
4.990010082990770570e+03,-7.820173010167918992e-01
4.989653300240440331e+03,-7.448544866664769115e-01
4.989296517490111000e+03,-7.026980589889153528e-01
4.988939734739781670e+03,-6.488168867411681084e-01
4.988582951989451431e+03,-6.156899470901697757e-01
4.988226169239122100e+03,-6.492509963158314967e-01
4.987869386488792770e+03,-7.580641483437411399e-01
4.987512603738462531e+03,-8.978670123848011553e-01
4.987155820988133200e+03,-1.008997880356666821e+00
4.986799038237803870e+03,-1.065926175567155409e+00
4.986442255487473631e+03,-1.086047101850878827e+00
4.986085472737144300e+03,-1.084895431466311955e+00
4.985728689986814970e+03,-1.050005048301406729e+00
4.985371907236484731e+03,-9.826525329532325159e-01
4.985015124486155401e+03,-9.246077362529597776e-01
4.984658341735826070e+03,-9.145871154166254069e-01
4.984301558985495831e+03,-9.351246851418170136e-01
4.983944776235166501e+03,-9.272412327862327164e-01
4.983587993484837170e+03,-8.604636948524203577e-01
4.983231210734506931e+03,-7.651489207187401886e-01
4.982874427984177601e+03,-6.894846260466512833e-01
4.982517645233848270e+03,-6.561867667501520840e-01
